user_idx,joke_idx,user_id,joke_id
0,0,A,15270
0,3,A,41814
0,4,A,46109
0,5,A,46255
0,7,A,50678
0,10,A,66241
0,11,A,72738
0,12,A,77562
0,13,A,78131
0,14,A,78924
0,15,A,81008
0,17,A,85852
0,18,A,94560
0,21,A,117720
0,22,A,123726
0,23,A,127565
0,24,A,127859
0,25,A,131489
0,26,A,131895
0,28,A,152574
0,29,A,162148
0,32,A,187029
0,34,A,194968
0,35,A,197718
0,36,A,201019
0,38,A,204182
0,40,A,219250
0,41,A,226356
1,1,B,28989
1,5,B,46255
1,9,B,65283
1,16,B,82235
1,17,B,85852
1,19,B,103534
1,20,B,108789
1,22,B,123726
1,23,B,127565
1,25,B,131489
1,28,B,152574
1,29,B,162148
1,32,B,187029
1,34,B,194968
1,37,B,203751
1,41,B,226356
2,2,C,40594
2,3,C,41814
2,5,C,46255
2,6,C,48404
2,8,C,58894
2,10,C,66241
2,11,C,72738
2,14,C,78924
2,18,C,94560
2,19,C,103534
2,20,C,108789
2,21,C,117720
2,23,C,127565
2,25,C,131489
2,27,C,135027
2,31,C,185843
2,32,C,187029
2,33,C,191866
2,34,C,194968
2,35,C,197718
2,37,C,203751
2,38,C,204182
2,39,C,214646
2,40,C,219250
2,41,C,226356
3,2,D,40594
3,5,D,46255
3,6,D,48404
3,7,D,50678
3,19,D,103534
3,20,D,108789
3,21,D,117720
3,23,D,127565
3,25,D,131489
3,26,D,131895
3,28,D,152574
3,29,D,162148
3,30,D,169394
3,37,D,203751
3,38,D,204182
3,39,D,214646
3,41,D,226356
